"","UNION","MRGID_EEZ","TERRITORY1","MRGID_TER1","ISO_TER1","UN_TER1","SOVEREIGN1","MRGID_SOV1","ISO_SOV1","UN_SOV1","TERRITORY2","MRGID_TER2","ISO_TER2","UN_TER2","SOVEREIGN2","MRGID_SOV2","ISO_SOV2","UN_SOV2","TERRITORY3","MRGID_TER3","ISO_TER3","UN_TER3","SOVEREIGN3","MRGID_SOV3","ISO_SOV3","UN_SOV3","POL_TYPE","gmw_area_2020_ha","ISO_code","Jurisdiction","Juris_ISO"
"1","French Guiana",8462,"French Guiana",8683,"GUF",254,"France",17,"FRA",250,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"Union EEZ and country",63570.43805,"GUF","French Guiana","French Guiana_GUF"
"2","Mayotte",48944,"Mayotte",8606,"MYT",175,"France",17,"FRA",250,"Mayotte",8606,"MYT",175,"Comores",2163,"COM",174,NA,0,NA,0,NA,0,NA,0,"Overlapping claim",675.3327342,"MYT_COM","Mayotte_Comores","Mayotte_Comores_MYT_COM"
"3","New Caledonia",8312,"New Caledonia",2261,"NCL",540,"France",17,"FRA",250,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"Union EEZ and country",33480.82103,"NCL","New Caledonia","New Caledonia_NCL"
"4","Wallis and Futuna",8454,"Wallis and Futuna",8680,"WLF",876,"France",17,"FRA",250,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"Union EEZ and country",29.36241366,"WLF","Wallis and Futuna","Wallis and Futuna_WLF"
"5","Guadeloupe",33177,"Guadeloupe",8654,"GLP",312,"France",17,"FRA",250,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"Union EEZ and country",3419.299933,"GLP","Guadeloupe","Guadeloupe_GLP"
"6","French Polynesia",8440,"French Polynesia",8656,"PYF",258,"France",17,"FRA",250,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"Union EEZ and country",125.8718062,"PYF","French Polynesia","French Polynesia_PYF"
"7","Martinique",33178,"Martinique",8655,"MTQ",474,"France",17,"FRA",250,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"Union EEZ and country",1944.110108,"MTQ","Martinique","Martinique_MTQ"
"8","Europa Island",8341,"Europa Island",8612,"ATF",260,"France",17,"FRA",250,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"Union EEZ and country",672.3018198,"ATF","Europa Island","Europa Island_ATF"
"9","Collectivity of Saint Martin",8495,"Collectivity of Saint Martin",8688,"MAF",663,"France",17,"FRA",250,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"Union EEZ and country",1.030117602,"MAF","Collectivity of Saint Martin","Collectivity of Saint Martin_MAF"
"10","Sint-Maarten",21803,"Sint-Maarten",21802,"SXM",534,"Netherlands",15,"NLD",528,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"Union EEZ and country",5.393619559,"SXM","Sint-Maarten","Sint-Maarten_SXM"
"11","Aruba",26519,"Aruba",8652,"ABW",533,"Netherlands",15,"NLD",528,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"Union EEZ and country",43.29422015,"ABW","Aruba","Aruba_ABW"
"12","Curacao",26517,"Curacao",19143,"CUW",531,"Netherlands",15,"NLD",528,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"Union EEZ and country",44.41490264,"CUW","Curacao","Curacao_CUW"
"13","Bonaire",26520,"Bonaire",15074,"BES",535,"Netherlands",15,"NLD",528,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"Union EEZ and country",183.992145,"BES","Bonaire","Bonaire_BES"
"14","Turks and Caicos Islands",8405,"Turks and Caicos Islands",2211,"TCA",796,"United Kingdom",2208,"GBR",826,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"Union EEZ and country",15188.26155,"TCA","Turks and Caicos Islands","Turks and Caicos Islands_TCA"
"15","British Virgin Islands",8411,"British Virgin Islands",8653,"VGB",92,"United Kingdom",2208,"GBR",826,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"Union EEZ and country",98.39715739,"VGB","British Virgin Islands","British Virgin Islands_VGB"
"16","Cayman Islands",8407,"Cayman Islands",8638,"CYM",136,"United Kingdom",2208,"GBR",826,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"Union EEZ and country",4431.533303,"CYM","Cayman Islands","Cayman Islands_CYM"
"17","Bermuda",8402,"Bermuda",8636,"BMU",60,"United Kingdom",2208,"GBR",826,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"Union EEZ and country",20.9412013,"BMU","Bermuda","Bermuda_BMU"
"18","Anguilla",8412,"Anguilla",8643,"AIA",660,"United Kingdom",2208,"GBR",826,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"Union EEZ and country",3.52719373,"AIA","Anguilla","Anguilla_AIA"
