Country,Mangrove_area_ha_2020,Type_assessment,Territory_status,Federal_status,Mangrove_policy,Clearing_restrictions,Coordination_mechanism,Community_management,Coastal_zone_planning,Environmental_impact_assessment,Clearing_restrictions_level,Clearing_restrictions_year,Mangrove_NDC,Mangrove_policy_year,Coordination_mechanism_year
American Samoa,32,Partial,3,NA,N,N,1,,Y,,NA,NA,NA,NA,2011
Angola,28357,Full,1,N,N,Y,0,N,NA,Y,3A,2005,N,NA,NA
Antigua & Barbuda,869,Full,1,N,N,Y,0,N,NA,N,3B,2019,N,NA,NA
Aruba,46,Partial,3,NA,N,Y,0,,,,3B,2017,NA,NA,NA
Australia,1017081,Full,1,Y,N,N,0,Y,NA,N,NA,NA,N,NA,NA
Bahrain,60,Partial,1,N,N,N,0,,,,NA,NA,y,NA,NA
Bangladesh,448386,Full,1,N,N,N,0,Y,NA,N,NA,NA,Y,NA,NA
Barbados,11,Partial,1,N,N,Y,1,,N,,1,2019,Y,NA,2020
Belize,52869,Full,1,N,Y,Y,0,Y,N,Y,1,1989,Y,2018,NA
Benin,2877,Full,1,N,N,Y,0,Y,Y,Y,2,2008,Y,NA,NA
Bermuda,21,Partial,3,NA,N,Y,0,,,,3B,2012,NA,NA,NA
Brazil,1141471,Full,1,Y,Y,Y,2,Y,Y,N,2,1760,N,2011,2011
Brunei,11497,Full,1,N,N,Y,0,N,NA,Y,1,2016,Y,NA,NA
Cambodia,62692,Full,1,N,N,Y,0,Y,NA,N,3A,2006,Y,NA,NA
Cameroon,197001,Full,1,N,Y,Y,0,Y,N,Y,1,2016,Y,2014,NA
Cayman Is.,4489,Full,3,NA,N,Y,0,N,Y,N,2,2013,NA,NA,NA
China,21581,Full,1,N,Y,Y,1,Y,Y,N,3A,1999,Y,2020,2021
Colombia,280754,Full,1,N,Y,Y,0,Y,Y,Y,2,1995,Y,1995,NA
Comoros,97,Partial,1,Y,Y,Y,0,,,,1,1932,Y,1932,NA
"Congo, DRC",23684,Full,1,N,N,N,0,Y,NA,N,NA,NA,Y,NA,NA
Costa Rica,37111,Full,1,N,Y,Y,1,N,Y,Y,2,1977,Y,2001,1999
Cote d'Ivoire,5448,Full,1,N,N,Y,0,Y,Y,Y,3A,2019,Y,NA,NA
