"Country","Mangrove_area_ha_2020","Type_assessment","Territory_status","Federal_status","Mangrove_policy","Clearing_restrictions","Coordination_mechanism","Community_management","Coastal_zone_planning","Environmental_impact_assessment","Clearing_restrictions_level","Clearing_restrictions_year","Mangrove_NDC","Mangrove_policy_year","Coordination_mechanism_year","Assessment","WB_CODE","TERRITORY1","ISO_TER1","SOVEREIGN1","ISO_SOV1","FLD_PROTECTION","ISO_code","Jurisdiction","Juris_ISO","WB_REGION","gmw_area_2020_ha","gmw_area_2020_wdpa_ha","jurisdiction_area_ha","Shoreline_length_m","Mangrove_shoreline_length_m","mean_agb_Mg_ha","mean_abovegroundcarbon_MtCO2e_ha","mean_SOC_MgC_ha","mean_soilcarbon_MtCO2e_ha","protection_num_people","protection_property_USD_billion","ramsar_num_sites","total_abovegroundcarbon_storage_MtCO2e","total_belowgroundcarbon_storage_MtCO2e","total_carbon_storage_MtC02e","GDP_year","GDP_annualgrowth","GDP_dollarvalue","GDP_pc","GNIPC_21","WGI_control_corruption","WGI_rule_of_law","WGI_governance_effectiveness","fishing_pressure_median","mangrove_attractions","total_pop","fishing_pressure_median_medgap","fishing_pressure_median_mingap","fishing_pressure_median_maxgap","fisher_days_yr","extent","people_protected","property_protected","Carbon","Fishing_med","Fishing_min","Fishing_max","Government_type","people_protected_norm","property_protected_norm","Carbon_norm","Fishing_med_norm","Fishing_min_norm","Fishing_max_norm","extent_norm","GDP_pc_norm","Protection_norm","Governance_norm"
"Angola",28357,"Full",1,"N",0,1,0,0,0,1,"3A",2005,"N",NA,NA,"Full","AGO","Angola","AGO","Angola","AGO","Angola","AGO","Angola","Angola_AGO","Sub-Saharan Africa",28065.29346,1268.356064,124703964.790429,2710954.745,426884.2003496,139.686950683594,0.000255217982036404,325.267181396484,0.00131549107240906,3128.64565610282,0.002,0,7.16276756212068,36.9196429911703,44.0824105532909,2022,3.04540301,2.48e+11,7.64977833432397,5990,-0.66,-0.95,-1.06,3874,11,35588987,3874,3874,3874,1087249.4686404,6.41614530782702,-2.19285146109201,-16.4336717242434,-6.3538747210924,8.26212802361215,8.26212802361215,8.26212802361215,"Unitary independent",-0.0115489311255468,-0.726417141966844,0.660874685074711,1.37194680540569,1.22154662018797,1.01536298640202,-1.08880518170568,-0.670565205731974,-0.52511309211597,-1.12530473974172
"Antigua & Barbuda",869,"Full",1,"N",0,1,0,0,0,0,"3B",2019,"N",NA,NA,"Full","ATG","Antigua and Barbuda","ATG","Antigua and Barbuda","ATG","AntiguaandBarbuda","ATG","Antigua and Barbuda","Antigua and Barbuda_ATG","Latin America & Caribbean",869.184267,401.0487735,43564.8254466268,347460.8876,58291.3635516,25.2034358978271,4.60484677970908e-05,245.703994750977,0.000993710494131166,312.024456285219,0.016,1,0.0400246037286875,0.863717527451606,0.903742131180293,2022,8.458733325,2375639620,9.67584514653402,21070,0.26,0.34,-0.14,NA,14,93763,379,1,8418,3294.20837193,8.84417729042928,-1.02413744412431,-10.9026307449159,-6.7179269840359,5.93840653863334,0.285178942233662,9.03816675027277,"Unitary independent",0.389224194490782,1.13751468276748,-0.578285381701027,0.0467888350785268,-1.98193707605853,1.39841786158193,-0.189207035269421,0.917909969341856,1.0863786316507,0.921613648221007
"Australia",1017081,"Full",1,"Y",0,0,0,1,0,0,NA,NA,"N",NA,NA,"Full","AUS","Australia","AUS","Australia","AUS","Australia","AUS","Australia","Australia_AUS","East Asia & Pacific",992523.2676,490678.6543,768552147.106927,82813419.96,34899993.1303609,119.428977966309,0.000218205226787955,288.230102539062,0.00116570053290283,59831.6906363283,0.792,15,216.57376469898,1156.98490195978,1373.55866665876,2022,3.617588572,1.63e+12,11.0118881127219,55330,1.74,1.67,1.51,1,19,25978935,1,1,1,9925.232676,11.5801017123251,-2.80671496222023,-14.0391034052652,-6.4674451845872,0.285178942233662,0.285178942233662,0.285178942233662,"Federal",-0.222053802699905,0.0805398328460129,0.274303861451474,-3.177099938111,-1.98193707605853,-2.92208127985592,0.824466819260828,1.96539323683906,-0.100696821977452,3.82444574577547
"Bangladesh",448386,"Full",1,"N",0,0,0,1,0,0,NA,NA,"Y",NA,NA,"Full","BGD","Bangladesh","BGD","Bangladesh","BGD","Bangladesh","BGD","Bangladesh","Bangladesh_BGD","South Asia",448232.7987,397105.5969,13807130.6955747,22346410.34,7866846.56702938,90.6844940185545,0.000165687012653259,122.817649841309,0.0004967163339592,1112669.73261847,1.559,1,74.2663533898126,222.644552530536,296.910905920349,2022,7.099828776,1.27e+12,7.86487312536344,6870,-0.96,-0.61,-0.63,2519,10,171186372,2519,2519,2519,11290984.199253,13.4945506411372,0.909253450635815,-12.5685421118566,-7.09205515227536,7.8317482721391,7.8317482721391,7.8317482721391,"Unitary independent",1.05221881993522,0.576111282280462,-1.85174178653115,1.1265124185316,1.0487092981776,0.80292634333669,1.53377984320234,-0.50192677100968,1.15866770321424,-0.829884367704712
"Belize",52869,"Full",1,"N",1,1,0,1,0,1,"1",1989,"Y",2018,NA,"Full","BLZ","Belize","BLZ","Belize","BLZ","Belize","BLZ","Belize","Belize_BLZ","Latin America & Caribbean",51937.33009,15853.89895,2212824.61819007,2100546.768,1859740.07092473,16.1848440170288,2.95708597645348e-05,254.053680419922,0.00102747946186951,14259.665003347,0.502,1,1.53583150463575,53.3645399718122,54.9003714764479,2022,12.12874526,4640735994,8.76016760492214,9370,-0.3,-0.78,-0.49,98,72,405272,98,98,98,50898.5834882,10.8057519016658,-1.29216340153045,-11.5467750130052,-6.70372658534052,4.58832916879206,4.58832916879206,4.58832916879206,"Unitary independent",0.297313257224307,0.920441440045291,-0.529950104635764,-0.723125200991853,-0.253823802092757,-0.798034352445805,0.537566292680565,0.200001243697958,0.866515355973457,-0.41602767723615
"Benin",2877,"Full",1,"N",0,1,0,1,1,1,"2",2008,"Y",NA,NA,"Full","BEN","Benin","BEN","Benin","BEN","Benin","BEN","Benin","Benin_BEN","Sub-Saharan Africa",2884.366411,11.52830733,11521460.0649017,234191.8367,100766.90808412,9.33312797546388,1.70522878216509e-05,154.428466796875,0.000624561225405273,184738.922104771,0.168,1,0.0491850462234742,1.80146342017197,1.85064846639544,2022,6.253244914,54160663044,7.29041565799259,3650,-0.15,-0.59,-0.21,NA,2,13352864,379,1,8418,10931.74869769,4.09692993586488,4.15964021986252,-9.75082309128726,-7.11737009211903,5.93840653863334,0.285178942233662,9.03816675027277,"Unitary independent",2.16683509564721,1.52566782601755,-1.93790870743827,0.0467888350785268,-1.98193707605853,1.39841786158193,-1.94808622279294,-0.952312424905764,2.62746716623094,-0.0145665438965835
"Brazil",1141471,"Full",1,"Y",1,1,1,1,1,0,"2",1760,"N",2011,2011,"Full","BRA","Brazil","BRA","Brazil","BRA","Brazil","BRA","Brazil","Brazil_BRA","Latin America & Caribbean",1137555.042,976366.0194,847308314.658315,68926381.35,23084304.2221393,92.4456405639648,0.000168904752500756,300.091522216797,0.00121367214696228,326910.608039829,0.719,7,192.138452824998,1380.61887011191,1572.7573229369,2022,2.900530615,3.84e+12,8.94300718282436,15830,-0.48,-0.28,-0.46,702,495,215313498,702,702,702,7985636.39484,11.435382669831,-1.24652990590292,-14.271640012879,-6.46830111983218,6.55440337904034,6.55440337904034,6.55440337904034,"Federal",0.312961806321796,0.00217621468316983,0.271390431476484,0.398075823660607,0.535737045530536,0.172425349277888,0.770847681080378,0.343350973710981,0.224242152433622,-0.184164525641146
"Brunei",11497,"Full",1,"N",0,1,0,0,0,1,"1",2016,"Y",NA,NA,"Full","BRN","Brunei","BRN","Brunei","BRN","BruneiDarussalam","BRN","Brunei","Brunei_BRN","East Asia & Pacific",10982.47277,6653.5747,581537.731076184,487052.3613,239975.8938549,203.028137207031,0.000370946829471268,465.183563232422,0.00188136049212341,78.2512026182113,0.006,0,4.07391345378603,20.6619903752992,24.7359038290852,2022,-1.62833154,31104606429,10.3607915061917,66770,1.25,0.89,1.45,145,6,449002,145,145,145,15924.5855165,9.12691756953619,-4.927335229712,-14.4169914337499,-6.02333078899886,4.97900701863808,4.97900701863808,4.97900701863808,"Unitary independent",-0.949252758568588,-0.0468064524393844,1.7859791897236,-0.500331776779723,-0.0969304698552556,-0.605194678513182,-0.0844503299088753,1.4549210303871,-0.708763927359446,2.94113352624278
"Cambodia",62692,"Full",1,"N",0,1,0,1,0,0,"3A",2006,"Y",NA,NA,"Full","KHM","Cambodia","KHM","Cambodia","KHM","Cambodia","KHM","Cambodia","Cambodia_KHM","East Asia & Pacific",62209.71786,40405.82713,18143057.6394631,2022065.279,1178065.81943371,94.8505554199219,0.000173298702783893,234.395492553711,0.000947975066354676,38370.1059353534,0.09,1,10.78086340569,58.9732614162391,69.7541248219292,2022,5.16246,89698963681,7.47996570614155,4560,-1.18,-0.9,-0.42,1423,18,16767842,1423,1423,1423,885244.2851478,8.84431799405982,-0.483036906207846,-13.445055358439,-6.65268153479488,7.26075447563144,7.26075447563144,7.26075447563144,"Unitary independent",0.574777332987494,0.280730911530678,-0.356203105423941,0.800889496274892,0.81940241667321,0.521082216316212,-0.189154903861704,-0.803701557729947,0.608752347824261,-1.0382714643079
"Cameroon",197001,"Full",1,"N",1,1,0,1,0,1,"1",2016,"Y",2014,NA,"Full","CMR","Cameroon","CMR","Cameroon","CMR","Cameroon","CMR","Cameroon","Cameroon_CMR","Sub-Saharan Africa",197077.9484,149058.51,46498774.345306,3446591.551,2852810.88626329,115.659629821778,0.000211318359959435,401.569458007812,0.00162408342179931,72.0751193792071,0.001,1,41.6461888400581,320.071028798661,361.717217638719,2022,3.540977863,1.23e+11,7.50283748878305,3990,-1.09,-1.1,-0.88,903,1,27914536,903,903,903,1779613.874052,9.58941889991646,-7.62846676454196,-18.8139309433664,-6.21226843704295,6.80608793516193,6.80608793516193,6.80608793516193,"Unitary independent",-1.875519503211,-1.528552025115,1.14287375570216,0.541604984839672,0.636811700001469,0.296657546612584,0.0869087553567484,-0.785769642199447,-2.42222859722091,-1.39906744055428
