"Juris_ISO","Jurisdiction","ISO_code","gmw_area_2020_ha","gmw_area_2020_wdpa_ha","jurisdiction_area_ha","Shoreline_length_m","Mangrove_shoreline_length_m","mean_agb_Mg_ha","mean_abovegroundcarbon_MtCO2e_ha","mean_SOC_MgC_ha","mean_soilcarbon_MtCO2e_ha","protection_num_people","protection_property_USD_billion","ramsar_num_sites","total_abovegroundcarbon_storage_MtCO2e","total_belowgroundcarbon_storage_MtCO2e","total_carbon_storage_MtC02e","Country","WB_CODE","WB_REGION","TERRITORY1","ISO_TER1","SOVEREIGN1","ISO_SOV1","GDP_year","GDP_annualgrowth","GDP_dollarvalue","GDP_pc","GNIPC_21","WGI_control_corruption","WGI_rule_of_law","WGI_governance_effectiveness","fishing_pressure_median","mangrove_attractions","total_pop","fishing_pressure_median_medgap","fishing_pressure_median_mingap","fishing_pressure_median_maxgap","fisher_days_yr"
"American Samoa_ASM","American Samoa","ASM",31.8919218,0,20874.0602199805,201441.5726,8265.4751183,86.5614910888267,0.000158153993409115,269.698128336066,0.00109075092835469,0,0,0,0.00504383479016121,0.0347861433103651,0.0398299781005263,"American Samoa","ASM","East Asia & Pacific","American Samoa","ASM","United States","USA",2021,-1.866251944,NA,15743,NA,1.33,1.21,0.7,NA,11,44273,379,1,8418,120.870383622
"Andaman and Nicobar_IND","Andaman and Nicobar","IND",56134.87134,0,754266.845078319,4216734.956,2122954.15552921,86.5614910888267,0.000158153993409115,269.698128336066,0.00109075092835469,1889.0749263544,0.013,0,8.87795407192788,61.2291630271759,70.1071170991038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola_AGO","Angola","AGO",28065.29346,1268.356064,124703964.790429,2710954.745,426884.2003496,139.686950683594,0.000255217982036404,325.267181396484,0.00131549107240906,3128.64565610282,0.002,0,7.16276756212068,36.9196429911703,44.0824105532909,"Angola","AGO","Sub-Saharan Africa","Angola","AGO","Angola","AGO",2022,3.04540301,2.48e+11,1953,5990,-0.66,-0.95,-1.06,3874,11,35588987,3874,3874,3874,1087249.4686404
"Anguilla_AIA","Anguilla","AIA",3.52719373,0,8328.28673092856,105255.0864,832.3782889,86.5614910888267,0.000158153993409115,24.4983882904053,9.90798116984178e-05,1889.0749263544,0.013,0,0.000557839773927092,0.00034947369059224,0.000907313464519332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda_ATG","Antigua and Barbuda","ATG",869.184267,401.0487735,43564.8254466268,347460.8876,58291.3635516,25.2034358978271,4.60484677970908e-05,245.703994750977,0.000993710494131166,312.024456285219,0.016,1,0.0400246037286875,0.863717527451606,0.903742131180293,"Antigua & Barbuda","ATG","Latin America & Caribbean","Antigua and Barbuda","ATG","Antigua and Barbuda","ATG",2022,8.458733325,2375639620,15781,21070,0.26,0.34,-0.14,NA,14,93763,379,1,8418,3294.20837193
"Aruba_ABW","Aruba","ABW",43.29422015,0.060417565,18191.7899210279,86103.15946,13448.4963775,20.1830253601074,3.6875821102745e-05,401.778839111328,0.00162493023017151,0,0,1,0.00159650991703426,0.0703500871134354,0.0719465970304697,"Aruba","ABW","Latin America & Caribbean","Aruba","ABW","Netherlands","NLD",2021,17.1725086,4569092261,29342,41610,0.83,1.28,1.13,NA,19,106445,379,1,8418,164.0850943685
"Australia_AUS","Australia","AUS",992523.2676,490678.6543,768552147.106927,82813419.96,34899993.1303609,119.428977966309,0.000218205226787955,288.230102539062,0.00116570053290283,59831.6906363283,0.792,15,216.57376469898,1156.98490195978,1373.55866665876,"Australia","AUS","East Asia & Pacific","Australia","AUS","Australia","AUS",2022,3.617588572,1.63e+12,60443,55330,1.74,1.67,1.51,1,19,25978935,1,1,1,9925.232676
"Bahamas_BHS","Bahamas","BHS",149792.2088,96814.51256,1327497.40401283,13666928.37,6633244.32853532,13.2714719772339,2.42479220865412e-05,225.673187255859,0.000912699098146361,19725.893296442,1.546,1,3.63214980815332,136.715213881111,140.347363689265,"The Bahamas","BHS","Latin America & Caribbean","Bahamas","BHS","Bahamas","BHS",2022,14.36896003,16554560159,27478,31050,1.18,0.1,0.46,17,47,409984,17,17,17,25464.675496
"Bahrain_BHR","Bahrain","BHR",58.36400207,19.06144791,75641.600539409,599182.9923,7353.7287513,4.49533891677856,8.21330354263854e-06,119.972198486328,0.000485208361226196,9449.20018012027,0.343,0,0.000479361264964094,0.028318701798987,0.0287980630639511,"Bahrain","BHR","Middle East & North Africa","Bahrain","BHR","Bahrain","BHR",2022,4.860858272,90141730810,26562,51370,0.17,0.47,0.72,NA,11,1472233,379,1,8418,221.1995678453
"Bangladesh_BGD","Bangladesh","BGD",448232.7987,397105.5969,13807130.6955747,22346410.34,7866846.56702938,90.6844940185545,0.000165687012653259,122.817649841309,0.0004967163339592,1112669.73261847,1.559,1,74.2663533898126,222.644552530536,296.910905920349,"Bangladesh","BGD","South Asia","Bangladesh","BGD","Bangladesh","BGD",2022,7.099828776,1.27e+12,2457,6870,-0.96,-0.61,-0.63,2519,10,171186372,2519,2519,2519,11290984.199253
